Venue	Date	Start	End	Title	Event	Tags	Event Type	Is On Sale	Is Sold Out	Description
Bosco Theatre	2026-07-19	11:00	16:00	Family Fringe	https://purchase.vfringe.co.uk/EventAvailability?EventId=64001		Family Friendly	true	false	Family Fringe is back for a third year running, curated by our friends at New Carnival, who have been delivering vibrant, exciting and innovative creative projects for over a decade. This area is specially curated for families looking for something fun for children, especially those aged 5-12, with everything from games to graffiti, carnival crafts and circus skills. Activities available include: Games – Hula hoops, limbo, hoopla etc, Graffiti and drawing Small world area Crafting activities Musical instruments Dress Up Box Glitter tattoos Circus Skills Dance Carnival costume making and large costume walkabouts! Circus Workshops with Azaria 14:00–15:00 each day! Entry to the Family Fringe is £10 (Including booking fee) per day per child (adults go free) There are also some spectacular FREE outdoor circus, magic and puppet shows in the park on both weekends, as well as live music on the Bandstand making for a packed, full day out. Please note children must always be supervised by an adult. Sometimes a particular activity may be busy, if this happens we will operate on a first come first served basis/ one in, one out.
Ingrams Yard	2026-07-19	13:00	14:00	Tales from the Isle of Wight Ghost Experience	https://purchase.vfringe.co.uk/EventAvailability?EventId=49401		Spoken Word, Walks & Talks	true	false	For over 30 years, Marc Tuckey has been enthralling visitors to and residents of the Isle of Wight with haunting historical tales of grisly ghosts, ghouls and ghastly goings-on. Many have enjoyed the walks he leads with his team – now is your chance to settle back in your seat for some more spooky stories – this time with a family feel. Whether you’re interested in the Island’s past; love a silly spectral tale; like a laugh or just enjoy a well-told story, you can expect a mix of little known facts from the past and some hilarious and haunting tales you won’t forget.
Ventnor Exchange	2026-07-19	14:00	15:00	A Walk Through The Solar System	https://purchase.vfringe.co.uk/EventAvailability?EventId=48801		Spoken Word, Walks & Talks	true	false	Join Stokey Woodall, known as the Star-man, on an incredible solar system walk. This unique experience follows a 1,000-yard model, where each inch represents 100,000 miles in space Meet very day at 1400 hours, at the in Ventnor Exchange for a friendly celestial introduction chat .The walk will then commence from a scaled model of the Sun, conveniently located just meters away from the Exchange, outside the Mushi restaurant. and conclude at the downgraded planet Pluto at Ventnor Park
Bosco Theatre	2026-07-19	14:30	15:30	SESKA - SUPERSILLYMAGICSHOW	https://purchase.vfringe.co.uk/EventAvailability?EventId=39002		Family Friendly	true	false	Super-hilarious family comedy magic for families. Crazier than finding a penguin in your fridge, one of the UK’s funniest family friendly comedians is back with a new bonkers show! Turbo-charged fast-paced super interactive magic show sells out at festivals and arts centres leaving audiences with a huge grin on their faces. Entertaining crowds from Mumbai to Trinidad and a firm favourite at Camp Bestival, his skills and jokes keep mum and dad glued to the show too. Endearing, charismatic, colorful and chaotic ! “One of the world’s top comedy magicians.” BBC Radio
Ingrams Yard	2026-07-19	15:00	16:00	735	https://purchase.vfringe.co.uk/EventAvailability?EventId=60801		Performing Arts	true	false	The future of working life, today! We here at Corporate Management Solutions are delighted to invite you - yes, you - to attend one of our exclusive, behind-the-scenes presentations of the proper workplace of the not-too-distant future. Do you want the inside track to your success in the upcoming corporate utopia? Are you desperate to go above and beyond for a business that cares deeply about pretending to care about you? Perhaps a lazy, lollygagging loser wanting to turn your fortunes around? Or just in need of passing an hour in an exciting fashion? Whether you're any of the above or none at all, get your tickets ASAP for a uniquely entertaining and engaging experience you won't soon forget! Written and Performed by Tom Pagett, originally developed at the University of Chichester, before being redeveloped with the help of Lighthouse Poole's Sanctuary scheme.
Bijou	2026-07-19	15:30	16:30	Canon Fodder	https://purchase.vfringe.co.uk/EventAvailability?EventId=55201		Spoken Word, Walks & Talks	true	false	CANON FODDER is a POETRY and MUSIC show, usually found at The Social and Glastonbury Festival, coming to Ventnor Fringe 2026 on a mission to feed the CANON and feed the SOUL. WRITERS including ELLA FREARS dazzle with their own work and that of poets they LOVE who've been OVERLOOKED by the CANON. LIVE MUSIC from the island’s finest musicians continues in the vein of NEW SONGS and UNSUNG HEROES. At the helm is HOST and HUMAN CANNONBALL, LILY BLACKSELL. Join us to celebrate POETRY and MUSIC, the HAPPENING and the HAPPENED! Raise a toast to NEW DISCOVERIES and those we LOVE THE MOST!
Pier Street Playhouse	2026-07-19	15:30	16:30	Pirates Prov – Avast!	https://purchase.vfringe.co.uk/EventAvailability?EventId=53801		Family Friendly	true	false	Citizens beware - the dastardly crew of the vile sloop PiratesProv are coming ashore to Ventnor Town. Infamous for their improvised stories of adventure, swashbuckling and booty-hunting, these rambunctious rogues will stop at nothing to entertain. So come aboard the good ship Pirates Prov for barrels full of freebootin’ shenanigans. You’d be a scurvy ridden, toothless scallywag to miss out.
Ventnor Exchange Arena	2026-07-19	15:30	16:30	The Mr Thing Show	https://purchase.vfringe.co.uk/EventAvailability?EventId=47201		Comedy & Cabaret	true	false	Mr. Thing are back "broadcasting" live at the Fringe. Become part of the studio audience as Tom and Owen, Puppet Steve and a crew of Things pull together a TV variety show live on stage with surprise guests, games, video sketches, live music, remote controlled cameras, musical robots, technical hijinx and much more. Welcome to the multimedia mayhem that is The Mr. Thing Show. 'A comedic riot' (Telegraph). 'I was howling with laughter' (Metro).
Ventnor Arts Club	2026-07-19	16:45	17:45	Beyond The Title Presents...My Hero: Barry Cryer	https://purchase.vfringe.co.uk/EventAvailability?EventId=43602		Spoken Word, Walks & Talks	true	false	Beyond The Title Presents...My Hero: Barry Cryer
Bosco Theatre	2026-07-19	17:00	17:55	Brainfools Circus + Theatre presents: Balance	https://purchase.vfringe.co.uk/EventAvailability?EventId=38202		Performing Arts	true	false	Two circus artists, two steel beer kegs, and a path of empty glass bottles. In Balance, Jared and Toffy find a physical language of trust in the inventory of a pub cellar. There are no traditional circus rigs—just the cold weight of metal, the sharp fragility of glass, and the constant negotiation of staying upright. They lift, they catch, they slip, and they hold on. It is an honest, high-stakes look at the visceral effort of relying on someone else to keep from falling. A circus duet about finding your centre when the ground feels like it's tipping.
Ingrams Yard	2026-07-19	17:00	18:00	Li Jin Hao: Falling From A Moon	https://purchase.vfringe.co.uk/EventAvailability?EventId=45601		Comedy & Cabaret	true	false	I just can’t stop. Going into the past feels good. I never go into the future, I don’t wanna know. I want to know again what I knew. I don’t want to know the new. Ew. Edinburgh Comedy Award Best Newcomer Nominee and Chortle Best Newcomer winner Li Jin Hao is a comedy writer and performer. Li Jin Hao was made in China and marinated in Singapore, loved and feared for his dry wit, gritty softness, and surreal energy, he quickly became a BBC New Comedy Awards Finalist, and was accepted into the Pleasance Comedy Reserve 2023. ★★★★★ Telegraph ★★★★★ The Skinny ★★★★★ The Age
Bijou	2026-07-19	18:15	19:15	Joe Wells and Abigoliah Schamaun present Neurodivergent Moments	https://purchase.vfringe.co.uk/EventAvailability?EventId=40001		Spoken Word, Walks & Talks	true	false	Two comedians, Abigoliah Schamaun (ADHD) and Joe Wells (autistic), read from their new book. “A fantastic introduction to what it’s like to be neurodivergent: funny; interesting; and free from the preconceptions and cliche that have built up around the subject.” - Frankie Boyle "Charming, moving, funny stories from the lives of two talented neurodivergent artists. Highly relatable if you’re neuro-atypical. Eye opening & empathy building for everyone else." - Deborah Frances-White
Pier Street Playhouse	2026-07-19	18:30	19:30	The Full English	https://purchase.vfringe.co.uk/EventAvailability?EventId=41402		Spoken Word, Walks & Talks	true	false	It's a bish-bosh, wish-wash, car crash mishmash!" From gangs of gung-ho Anglo-Saxons to Covidiots and Instagram influencers, this one-woman show by spoken word artist and linguistics nerd, Melanie Branton, celebrates the history of our glorious, multicultural tongue, through the media of performance poetry, silly hats and dad jokes. “A wonderfully eccentric, sharply intelligent, and surprisingly moving evening” ***** stars A Young(ish) Perspective “Funny, informative and clever” **** stars The Reviews Hub “Another triumph” Wolverhampton Express and Star
Ingrams Yard	2026-07-19	19:00	20:00	Katie Norris - Mother Succubus (Work in Progress)	https://purchase.vfringe.co.uk/EventAvailability?EventId=54201		Comedy & Cabaret	true	false	Boys of the manosphere: prepare to be spooked. Women with cats: your leader has returned. Last year’s Edinburgh Best Show Nominee is back and ready to enter a new era. A stand-up and musical comedy show about maturing adorably from the self-appointed Godmother to the Nation. As seen and heard on 8 Out of 10 Cats Does Countdown (C4). Nominee: Edinburgh Comedy Award Best Show 2025 Nominee: Next Big Thing 2025 Winner: Best Show Leicester 2025 Winner: the Musical Comedy Awards 2023 'Oddball songs, surreal asides and a glorious persona' **** (Guardian) **** (Scotsman) **** (Standard)
